id,kode,kelompok_id,nama,qty_item,satuan,foto_barang,harga_total
173,1010304004000185,1,Tinta Hp Laser Jet 204A Yellow,3,Buah,backend/assets/images/barang/foto_1010304004000185.png,3450000
174,1010304004000186,1,Tinta Hp Laser Jet 204A Magenta,4,Buah,backend/assets/images/barang/foto_1010304004000186.png,4468169
175,1010304004000187,1,CARTIDGE TONER 30A,0,Buah,,0
176,1010304004000188,1,Cartridge HP 682,5,Buah,backend/assets/images/barang/foto_1010304004000188.jpg,1942500
177,1010304004000189,1,Original Tinta Epson T7741,13,Buah,backend/assets/images/barang/foto_1010304004000189.jpg,3162540
178,1010304004000190,1,Original Tinta Epson T6642 Cyan,16,Buah,backend/assets/images/barang/foto_1010304004000190.jpg,2010820
179,1010304004000191,1,Original Tinta Epson T6643 Magenta,15,Buah,backend/assets/images/barang/foto_1010304004000191.jpg,1885720
180,1010304004000192,1,Original Tinta Epson T6644 Yellow,15,Buah,,1885720
181,1010304004000193,1,Tinta Epson 664 Blue,0,Buah,,0
182,1010304004000194,1,CF230A Compatible,6,Buah,backend/assets/images/barang/foto_1010304004000194.jpg,5161500
183,1010304004000195,1,CF289A Original,0,Buah,backend/assets/images/barang/foto_1010304004000195.jpg,0
184,1010304004000196,1,CF280A Compatible,7,Buah,backend/assets/images/barang/foto_1010304004000196.png,3885000
185,1010304004000197,1,Tinta Epson 008 Black,14,Buah,backend/assets/images/barang/foto_1010304004000197.png,5724500
186,1010304004000198,1,Tinta Epson 008 Yellow,12,Buah,backend/assets/images/barang/foto_1010304004000198.png,4623000
187,1010304004000199,1,Tinta Epson 008 Cyan,9,Buah,backend/assets/images/barang/foto_1010304004000199.png,3498000
188,1010304004000200,1,Tinta Epson 008 Magenta,10,Buah,backend/assets/images/barang/foto_1010304004000200.png,3873000
189,1010304006000190,1,Flashdisk Sandisk 64Gb,5,Buah,backend/assets/images/barang/foto_1010304006000190.jpg,575000
190,1010304010000001,1,Mouse,0,Buah,backend/assets/images/barang/foto_1010304010000001.png,0
191,1010304010000002,1,Wireless mouse logitech M220 warna,1,Buah,backend/assets/images/barang/foto_1010304010000002.jpg,262300
192,1010304010000003,1,Mouse logitech M241,4,Buah,backend/assets/images/barang/foto_1010304010000003.jpg,0
193,1010304999000118,1,Maintenance Box L15160,0,Buah,backend/assets/images/barang/foto_1010304999000118.png,0
194,1010304999000119,1,Maintenance Box L-1455,3,Buah,backend/assets/images/barang/foto_1010304999000119.png,2970360
195,1010304999000123,1,Wireless keyboard numerik,3,Buah,backend/assets/images/barang/foto_1010304999000123.png,326340
196,1010304999000124,1,wireless keyboard biasa,2,Buah,backend/assets/images/barang/foto_1010304999000124.png,432900
197,1010304999000127,1,Logitech Brio webcam full HD,0,Buah,,0
198,1010305999000181,2,Indomaret Hand Wash,0,Buah,,0
199,1010305999000168,2,Refil Pengharum Ruangan Cair,0,Buah,,0
200,1010305999000169,2,Refil Pengharum Ruangan Kaleng,0,Buah,,0
201,1010305999000186,2,Tissue Gulung Indomaret,0,Buah,,0
202,1010305999000187,2,Tissue Wajah Indomaret,0,Buah,,0
203,1010305999000002,2,Lampu Philips LED,0,Buah,,0
204,1010305999000003,2,Batu Baterai Besar,0,Buah,,0
205,1010399999000342,3,Kardus Box Batching Uk 36x26x10 cm,892,Buah,backend/assets/images/barang/foto_1010304999000342.png,4851588
206,1010399999000434,3,Ballpoint Peserta FKP,2356,Buah,backend/assets/images/barang/foto_1010399999000434.png,2002600
207,1010399999000607,3,Kalkulator Casio DJ-240D Plus,3,buah,backend/assets/images/barang/foto_1010304999000607.png,763500
208,1010399999000608,3,Index Mark Joyko Plastik,16,buah,backend/assets/images/barang/foto_1010304999000608.png,146500
209,1010399999000654,3,Buku Jakarta dalam Angka Tahun 2024,1,buku,backend/assets/images/barang/foto_1010399999000654.jpg,553500
